sample_id,timestamp,location_id,hazard_label,image_path,temperature,humidity,aqi,pm25,pm10,co,no2,so2,rainfall,wind_speed,pressure,traffic_density
S00157,1786783120,LOC-005,AIR_POLLUTION,data/images/S00157.jpg,26.63,42.47,273.98,195.04,280.65,1.39,57.01,12.34,0,3.72,1012.68,0.37
S00158,1786783420,LOC-004,NORMAL,data/images/S00158.jpg,31.15,41.64,36.95,31.3,53.71,0.65,34.6,0,0.64,10.72,1011.25,0.55
S00159,1786783720,LOC-005,LOW_VISIBILITY,data/images/S00159.jpg,23.15,56.85,110.0,77.04,167.46,0.83,23.73,0.49,11.6,0,1007.9,0.32
S00160,1786784020,LOC-004,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00160.jpg,42.91,90.29,250.76,206.25,286.39,0.82,29.39,15.71,48.03,31.13,986.29,0.57
S00161,1786784320,LOC-004,HEAVY_RAIN,data/images/S00161.jpg,23.55,80.31,29.27,16.76,35.91,0.91,28.62,21.37,31.28,25.24,1001.34,0.56
S00162,1786784620,LOC-002,AIR_POLLUTION,data/images/S00162.jpg,30.29,39.31,258.29,110.58,218.73,1.74,8.96,1.28,0,2.56,1008.35,0.43
S00163,1786784920,LOC-003,HEAVY_RAIN,data/images/S00163.jpg,22.32,91.82,69.21,10.14,35.08,1.24,48.07,2.36,53.42,17.81,1000.12,0.49
S00164,1786785220,LOC-003,AIR_POLLUTION,data/images/S00164.jpg,28.53,57.47,286.84,163.23,197.26,1.09,0,0,0.78,0,1007.06,0.58
S00165,1786785520,LOC-003,SMOKE_FIRE_RISK,data/images/S00165.jpg,38.0,43.6,360.22,277.96,202.09,1.49,38.76,22.12,0,1.09,1008.59,0.18
S00166,1786785820,LOC-002,FLOOD_RISK,data/images/S00166.jpg,25.66,89.0,48.65,16.53,30.68,1.15,34.09,0,72.55,18.31,992.69,0.12
S00167,1786786120,LOC-003,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00167.jpg,44.79,87.84,242.73,150.02,197.07,1.38,34.44,6.69,88.75,30.15,990.07,0.49
S00168,1786786420,LOC-004,HEAVY_RAIN,data/images/S00168.jpg,22.01,100,46.4,18.56,43.6,1.16,19.35,9.97,42.59,26.62,1002.44,0.88
S00169,1786786720,LOC-001,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00169.jpg,39.93,96.95,187.14,255.85,210.76,0.71,30.49,16.1,93.79,42.96,998.39,0.86
S00170,1786787020,LOC-005,AIR_POLLUTION,data/images/S00170.jpg,28.07,63.15,293.01,163.01,196.01,1.79,19.58,26.61,1.98,4.87,1010.06,0.4
S00171,1786787320,LOC-003,SMOKE_FIRE_RISK,data/images/S00171.jpg,37.2,16.25,391.17,268.26,304.19,1.29,55.18,1.75,1.19,4.22,1001.78,0.56
S00172,1786787620,LOC-002,FLOOD_RISK,data/images/S00172.jpg,26.31,99.33,75.04,23.14,53.17,0.97,33.7,20.59,64.31,7.7,993.48,0.9
S00173,1786787920,LOC-003,NORMAL,data/images/S00173.jpg,25.75,45.33,42.64,21.47,21.62,1.06,51.01,16.38,0,6.66,1010.53,0.8
S00174,1786788220,LOC-004,SMOKE_FIRE_RISK,data/images/S00174.jpg,32.79,29.59,408.44,117.66,302.01,1.12,38.85,6.4,0,6.13,1005.05,0.72
S00175,1786788520,LOC-003,HEAVY_RAIN,data/images/S00175.jpg,20.79,88.11,31.63,23.58,28.8,1.19,22.48,17.97,43.75,18.23,1001.52,0.47
S00176,1786788820,LOC-005,FLOOD_RISK,data/images/S00176.jpg,19.49,98.57,61.79,37.41,56.33,1.36,22.76,25.5,57.13,6.49,996.02,0.83
S00177,1786789120,LOC-002,HEAVY_RAIN,data/images/S00177.jpg,21.36,81.27,70.2,12.94,30.98,1.28,38.9,5.85,36.12,4.03,998.01,0.18
S00178,1786789420,LOC-003,NORMAL,data/images/S00178.jpg,27.16,53.06,75.12,14.78,34.09,0.81,37.93,17.22,0.89,7.59,1014.4,0.65
S00179,1786789720,LOC-002,HEAVY_RAIN,data/images/S00179.jpg,21.04,87.6,39.55,22.85,29.59,1.07,23.72,24.26,46.01,29.89,1003.22,0.2
S00180,1786790020,LOC-004,NORMAL,data/images/S00180.jpg,24.92,53.78,25.42,5.84,48.28,0.72,30.8,22.84,0,9.55,1009.75,0.38
S00181,1786790320,LOC-002,HEAVY_RAIN,data/images/S00181.jpg,18.23,90.95,61.91,22.12,44.85,1.41,23.87,0,52.28,14.69,1002.03,0.63
S00182,1786790620,LOC-005,FLOOD_RISK,data/images/S00182.jpg,25.47,91.13,55.35,34.51,62.29,2.27,40.68,0.5,77.81,13.95,995.07,0.17
S00183,1786790920,LOC-002,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00183.jpg,31.53,95.47,254.4,181.7,259.03,1.39,33.11,19.55,61.86,36.53,996.87,0.71
S00184,1786791220,LOC-005,HEAVY_RAIN,data/images/S00184.jpg,20.71,82.92,36.09,18.9,37.43,1.57,55.42,8.97,40.44,24.39,995.94,0.58
S00185,1786791520,LOC-004,HEAVY_RAIN,data/images/S00185.jpg,19.2,83.27,65.57,19.35,36.66,1.42,39.31,7.62,45.79,22.86,996.78,0.12
S00186,1786791820,LOC-003,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00186.jpg,38.88,93.79,396.01,221.04,255.4,0,41.01,21.89,79.35,19.87,988.26,0.75
S00187,1786792120,LOC-004,SMOKE_FIRE_RISK,data/images/S00187.jpg,28.73,39.9,341.14,279.84,224.94,0.74,9.57,9.17,0,5.71,1007.68,0.39
S00188,1786792420,LOC-003,HEAVY_RAIN,data/images/S00188.jpg,23.96,87.37,67.71,33.85,28.32,0.57,13.03,9.05,52.06,16.48,1013.41,0.22
S00189,1786792720,LOC-004,NORMAL,data/images/S00189.jpg,21.8,55.44,73.26,17.59,31.74,0.67,44.33,4.84,0.32,6.32,1016.55,0.66
S00190,1786793020,LOC-002,EXTREME_ENVIRONMENTAL_CONDITION,data/images/S00190.jpg,40.8,84.72,323.79,239.19,248.53,1.34,48.18,4.08,48.39,35.53,999.24,0.19
S00191,1786793320,LOC-003,HEAVY_RAIN,data/images/S00191.jpg,15.19,75.55,35.06,19.96,29.78,0.34,17.48,20.83,35.73,20.12,998.08,0.58
S00192,1786793620,LOC-004,LOW_VISIBILITY,data/images/S00192.jpg,20.32,79.93,176.2,164.07,179.7,0.76,54.82,11.39,4.34,5.55,1010.41,0.44
S00193,1786793920,LOC-005,SMOKE_FIRE_RISK,data/images/S00193.jpg,39.54,27.9,282.54,290.15,235.12,1.45,35.84,7.42,0,4.04,1007.24,0.59
S00194,1786794220,LOC-002,AIR_POLLUTION,data/images/S00194.jpg,36.95,35.96,259.27,183.13,207.14,0.53,53.74,0.06,0,4.48,1011.35,0.46
S00195,1786794520,LOC-003,FLOOD_RISK,data/images/S00195.jpg,21.48,93.92,51.27,43.29,18.79,0.75,17.21,10.21,60.66,14.76,996.98,0.56
S00196,1786794820,LOC-005,SMOKE_FIRE_RISK,data/images/S00196.jpg,38.08,41.44,320.63,221.38,278.66,1.01,8.95,15.5,0,3.3,1002.07,0.52
S00197,1786795120,LOC-001,NORMAL,data/images/S00197.jpg,25.21,69.03,26.01,19.85,45.09,0.89,20.93,13.19,1.51,10.18,1011.25,0.22
S00198,1786795420,LOC-005,LOW_VISIBILITY,data/images/S00198.jpg,20.95,89.52,180.14,113.84,160.0,0.47,26.14,7.46,8.44,3.76,1013.07,0.49
S00199,1786795720,LOC-003,NORMAL,data/images/S00199.jpg,28.25,54.11,62.14,28.23,39.53,2.13,30.98,8.74,1.02,1.78,1014.15,0.59
